trip_id,device,lane,start_time,end_time,transporter
5ba604cb22c61434e4568600,166,a,2018-09-22T09:00:59.567Z,2018-09-23T11:07:46.497Z,a
5ba5f20e22c61434e4567e73,108,c,2018-09-22T07:41:02.556Z,2018-09-22T17:57:06.918Z,c
5ba563e7fbd9d95ef7333351,139,b,2018-09-21T21:34:31.494Z,2018-09-23T09:50:24.922Z,d
5ba5568a845ceb3b95a0b010,528,a,2018-09-21T20:37:30.077Z,2018-09-22T22:36:25.833Z,a
5ba549a0845ceb3b95a0aa1e,577,c,2018-09-21T19:42:24.609Z,2018-09-23T18:55:33.543Z,c
5ba4e81cb72198028f033d00,619,c,2018-09-21T12:46:20.428Z,2018-09-23T18:55:26.609Z,e
5ba4ce23b72198028f03337f,535,b,2018-09-21T10:55:31.793Z,2018-09-23T00:31:56.148Z,b
5ba4a0d3edb0e341dd5e2f66,588,c,2018-09-21T07:42:11.419Z,2018-09-23T11:13:13.104Z,c
5ba42dc6143d535fca99a79d,622,b,2018-09-20T23:31:18.583Z,2018-09-22T09:29:26.782Z,c
5ba403e4ef39843a720cd631,456,c,2018-09-20T20:32:36.935Z,2018-09-22T17:56:54.284Z,c
5ba36ade4e20262d83982f8b,380,b,2018-09-20T09:39:42.227Z,2018-09-22T06:31:21.045Z,b
5ba358934e20262d8398282b,317,a,2018-09-20T08:21:39.517Z,2018-09-21T15:31:21.711Z,a
5ba2d1f5a9dbcd6966471e24,315,b,2018-09-19T22:47:17.891Z,2018-09-21T13:58:42.984Z,b
5ba29cc198adcd7f675be9a3,398,a,2018-09-19T19:00:17.340Z,2018-09-20T17:26:59.746Z,a
5ba20a9272e9dc1a325dc37c,570,a,2018-09-19T08:36:34.127Z,2018-09-20T16:31:19.165Z,a
5ba1725509a8d82cb18dec11,464,b,2018-09-18T21:47:01.467Z,2018-09-20T10:26:52.079Z,c
5ba1508c8d528358bfeee539,141,a,2018-09-18T19:22:52.552Z,2018-09-19T18:16:23.878Z,a
5ba0d4a6cb0a704efd085301,413,b,2018-09-18T10:34:14.600Z,2018-09-20T05:05:47.151Z,b
5ba0c2119659800a12343122,566,a,2018-09-18T09:14:57.462Z,2018-09-19T18:29:23.837Z,a
5ba0bcec9659800a12342eb0,139,b,2018-09-18T08:53:00.677Z,2018-09-18T21:39:28.204Z,b
5ba0ad2a9659800a123426e3,616,c,2018-09-18T07:45:46.667Z,2018-09-20T15:36:33.815Z,c
5ba00165dc260e79c8e7ab5b,540,c,2018-09-17T19:32:53.781Z,2018-09-19T18:16:16.711Z,c
5b9ffe09b5fc3a5951bd14a6,205,b,2018-09-17T19:18:33.575Z,2018-09-19T04:32:08.474Z,c
5b9ffacab5fc3a5951bd1380,572,a,2018-09-17T19:04:42.934Z,2018-09-18T18:37:16.631Z,a
5b9fa20e87a15b7cf3574672,574,c,2018-09-17T12:46:06.737Z,2018-09-19T16:18:00.225Z,e
5b9f6a64cff03e30c341995c,139,b,2018-09-17T08:48:36.436Z,2018-09-18T08:50:59.691Z,b
5b9edecf8829e94576e91ffc,456,b,2018-09-16T22:53:03.716Z,2018-09-18T10:17:10.749Z,c
5b9eb4e28829e94576e911e8,366,c,2018-09-16T19:54:10.348Z,2018-09-18T17:44:09.488Z,c
5b9eacb2e1ac811ac7f6095a,512,a,2018-09-16T19:19:14.596Z,2018-09-17T18:59:10.531Z,a
5b9e2048b1c9285536d3ff4a,149,b,2018-09-16T09:20:08.194Z,2018-09-18T01:16:45.175Z,b
5b9e178ab1c9285536d3fac5,549,a,2018-09-16T08:42:50.824Z,2018-09-17T12:16:46.525Z,a
5b9e08ac048cc52bcff4c72b,552,c,2018-09-16T07:39:24.425Z,2018-09-18T07:30:46.173Z,c
5b9d6e7aa035803a3245ad7c,380,b,2018-09-15T20:41:30.346Z,2018-09-17T07:11:34.783Z,a
5b9d61ee712fce02b77b2240,129,c,2018-09-15T19:47:58.193Z,2018-09-17T22:10:37.103Z,c
